run_accession,te,reads,reads_in_file,reads_mapped
SRR1663573,297,52245,19401200,1821942
SRR1663573,G7,328,19401200,1821942
SRR1663573,HMS-Beagle,19601,19401200,1821942
SRR1663573,roo,147625,19401200,1821942
SRR1663573,Bari2,380,19401200,1821942
SRR1663573,Bari1,10635,19401200,1821942
SRR1663573,Tabor,16626,19401200,1821942
SRR1663573,Porto1,9788,19401200,1821942
SRR1663573,looper1,890,19401200,1821942
SRR1663573,Doc2-element,13064,19401200,1821942
SRR1663573,Dvir:Penelope,2,19401200,1821942
SRR1663573,Dpse:mini-me,71,19401200,1821942
SRR1663573,Dbuz:Kepler,1439,19401200,1821942
SRR1663573,mariner2,2152,19401200,1821942
SRR1663573,Quasimodo,33404,19401200,1821942
SRR1663573,accord,9470,19401200,1821942
SRR1663573,GATE,22335,19401200,1821942
SRR1663573,HeT-A,15213,19401200,1821942
SRR1663573,Circe,28654,19401200,1821942
SRR1663573,invader3,6731,19401200,1821942
SRR1663573,invader4,6942,19401200,1821942
SRR1663573,HB,6061,19401200,1821942
SRR1663573,invader1,10339,19401200,1821942
SRR1663573,invader2,20478,19401200,1821942
SRR1663573,Juan,7574,19401200,1821942
SRR1663573,HMS-Beagle2,13145,19401200,1821942
SRR1663573,hopper,5928,19401200,1821942
SRR1663573,micropia,12084,19401200,1821942
SRR1663573,Dana:Tom,6969,19401200,1821942
SRR1663573,invader5,1342,19401200,1821942
SRR1663573,invader6,2009,19401200,1821942
SRR1663540,Dmel_rpl32,702,22319569,2246977
SRR1663540,Dmel_rhi,1426,22319569,2246977
SRR1663540,Dmel_tj,1062,22319569,2246977
SRR1663540,BS4,196,22319569,2246977
SRR1663540,BS3,5088,22319569,2246977
SRR1663540,G-element,10758,22319569,2246977
SRR1663540,ZAM,8568,22319569,2246977
SRR1663540,Idefix,38675,22319569,2246977
SRR1663540,opus,20009,22319569,2246977
SRR1663540,jockey2,3730,22319569,2246977
SRR1663540,1731,8101,22319569,2246977
SRR1663540,pogo,10269,22319569,2246977
SRR1663540,Rt1c,6345,22319569,2246977
SRR1663540,R2-element,13848,22319569,2246977
SRR1663540,Rt1b,47277,22319569,2246977
